Geo Point;Geo Shape;NUMERO;TYPE;TYPE_TAMPON;ZSURF;Z_FE_ENTREE1
47.4862777241, -0.5272807534;"{""coordinates"": [-0.5272807534, 47.4862777241], ""type"": ""Point""}";1551222;BORGNE;;0;0
47.4862557311, -0.5271341062;"{""coordinates"": [-0.5271341062, 47.4862557311], ""type"": ""Point""}";1551221;BORGNE;;0;0
47.4848347039, -0.5269225038;"{""coordinates"": [-0.5269225038, 47.4848347039], ""type"": ""Point""}";1551219;BORGNE;;0;0
47.4857065723, -0.5331642526;"{""coordinates"": [-0.5331642526, 47.4857065723], ""type"": ""Point""}";1551218;SIMPLE;ROND;33.96;32.21
47.4880219916, -0.5338957274;"{""coordinates"": [-0.5338957274, 47.4880219916], ""type"": ""Point""}";1551216;BORGNE;;0;0
47.4882384992, -0.533955842;"{""coordinates"": [-0.533955842, 47.4882384992], ""type"": ""Point""}";1551213;BORGNE;;0;0
47.4861010387, -0.5223134705;"{""coordinates"": [-0.5223134705, 47.4861010387], ""type"": ""Point""}";1551208;BORGNE;;0;0
47.4859929355, -0.5210721639;"{""coordinates"": [-0.5210721639, 47.4859929355], ""type"": ""Point""}";1551206;BORGNE;;0;0
47.485307468, -0.5163584113;"{""coordinates"": [-0.5163584113, 47.485307468], ""type"": ""Point""}";1551202;BORGNE;;0;0
47.4855032515, -0.5159904302;"{""coordinates"": [-0.5159904302, 47.4855032515], ""type"": ""Point""}";1551200;BORGNE;;0;0
47.4853653576, -0.516252132;"{""coordinates"": [-0.516252132, 47.4853653576], ""type"": ""Point""}";1551199;SIMPLE;ROND;46.14;40.54
47.4848273253, -0.5137302191;"{""coordinates"": [-0.5137302191, 47.4848273253], ""type"": ""Point""}";1551196;SIMPLE;ROND;46.56;42.06
47.4838862023, -0.5209566915;"{""coordinates"": [-0.5209566915, 47.4838862023], ""type"": ""Point""}";1551194;BORGNE;;0;0
47.4876592667, -0.5204675478;"{""coordinates"": [-0.5204675478, 47.4876592667], ""type"": ""Point""}";1551193;BORGNE;;0;0
47.4830938751, -0.535129847;"{""coordinates"": [-0.535129847, 47.4830938751], ""type"": ""Point""}";1551191;BORGNE;;0;0
47.4842835055, -0.5323307223;"{""coordinates"": [-0.5323307223, 47.4842835055], ""type"": ""Point""}";1551190;BORGNE;;0;0
47.4844116513, -0.5327098412;"{""coordinates"": [-0.5327098412, 47.4844116513], ""type"": ""Point""}";1551188;BORGNE;;0;0
47.4845369031, -0.533233552;"{""coordinates"": [-0.533233552, 47.4845369031], ""type"": ""Point""}";1551185;SIMPLE;ROND;30.82;29.19
47.4844666376, -0.5329432938;"{""coordinates"": [-0.5329432938, 47.4844666376], ""type"": ""Point""}";1551184;BORGNE;;0;0
47.4841264336, -0.5330267741;"{""coordinates"": [-0.5330267741, 47.4841264336], ""type"": ""Point""}";1551182;BORGNE;;0;0
47.4880468627, -0.5363308246;"{""coordinates"": [-0.5363308246, 47.4880468627], ""type"": ""Point""}";1551181;BORGNE;;0;0
